ganm_id,term,gloss,chapter_id,strophe_id,is_phrase
ganm_635,ზეგარდმო,ზემოდან,1,1,False
ganm_636,სულითა ყვნა,"სული მისცა, სულიერი გახადა",1,1,True
ganm_637,მისმიერი,"მისგან შექმნილი, 
მისეული",1,1,False
ganm_638,სიკვდიდმდე გასატანისა,სიკვდილამდე გასაყოლად,1,2,True
ganm_639,მუნ,იქ (იგულისხმება საიქიო ცხოვრება),1,2,False
ganm_640,თანა წასატანისა,თან წასაღების,1,2,True
ganm_641,შიმშერი,ხმალი,1,3,False
ganm_642,ბალახშ,საუკეთესო ლალი,1,3,False
ganm_643,ყანდი,ტკბილეული,1,3,False
ganm_644,ხამს,"ჯერ-არს, საჭიროა",1,3,False
ganm_645,მიშერისა,ველური თაფლისა,1,3,False
ganm_646,არ ავად გამორჩეული,კარგად გამორჩეული; კარგად შერჩეული სიტყვებით გამოხატული,1,4,True
ganm_647,ხეული,"(გულის) გამხევი, ნახევი ჭრილობის გამჩენი",1,4,False
ganm_648,ბაგე,ტუჩი,1,5,False
ganm_649,აწ,ახლა,1,6,False
ganm_650,შენგნით,შენგან,1,6,False
ganm_651,მათ სამთა გმირთა მნათობთა,იმ სამ მნათობისებრ გმირს,1,6,True
ganm_652,სჭირს ერთმანერთის მონება,"ერთმანეთთან არიან დაკავშირებულნი, ერთმანეთს საჭიროებენ",1,6,True
ganm_653,დაბადებით,ქვეყნის გაჩენიდან,1,7,False
ganm_654,ვინმცა ყოფილა,ვინ იქნებოდა?,1,7,True
ganm_655,ხელის–ხელ საგოგმანები,ხელიდან ხელში გადასაგორებელი,1,8,True
ganm_656,საჭოჭმანები,საყოყმანო,1,8,False
ganm_657,ხელ-მქმნელმან,გამხელებელმა,1,8,False
ganm_658,ნები,"დამსაჯოს, გამიკითხოს თავისი ნებისაებრ",1,8,False
ganm_659,ხელობით,"სიშმაგით, სიშმაგის გამო",1,9,False
ganm_660,სპა,მუდმივი ჯარი; მუდმივი ჯარის მებრძოლი,1,9,False
ganm_661,ვხელობ,"ვშმაგობ, გახელებული ვარ",1,9,False
ganm_662,კვლა,აქ; ისევ,1,9,False
ganm_663,სამარი,სამარისა,1,9,False
ganm_664,ენატრამცა,ინატრონ,1,10,False
ganm_665,ახლად ჩენა,"კვლავ ახელა, სინათლის დაბრუნება",1,10,True
ganm_666,მიჰხვდომია,"შეჰხვედრია, წილად ჰხვდომია",1,10,False
ganm_667,მიაჯეთ ვინ,"გამომექომაგეთ ვინმე, შემიწყალეთ ვინმემ!",1,10,True
ganm_668,სამთა ფერთა საქებელთა,სამხმოვან სიმღერას (ან: სიმღერებს),1,10,True
ganm_669,ლამის,დიაღაც რომ(?),1,10,False
ganm_670,ლექსთა უნდა ვლენა,"ლექსთა მიწოდება, სიტყვების მიცემა უნდა",1,10,True
ganm_671,უბნობდეს,ამბობდეს,1,11,False
ganm_672,მიწყივ,მუდამ,1,11,False
ganm_673,გულოვნობდეს,მამაცობდეს,1,11,False
ganm_674,კვლა,აგრეთვე,1,12,False
ganm_675,ამად,ამიტომ,1,12,False
ganm_676,რბევა,რბენინება,1,13,False
ganm_677,მისჭირდეს,"გაუჭირდეს, გაუძნელდეს",1,13,False
ganm_678,რა ვეღარ მიჰხვდეს ქართულსა,"როცა ვეღარ იპოვის, ვეღარ დაიმორჩილებს სიტყვას",1,14,True
ganm_679,ჩოგან,ცხენბურთის სათამაშო იარაღი,1,14,False
ganm_680,ყოლა,სრულებითაც,1,15,False
ganm_681,უცილობლობს,ჯიუტობს,1,15,False
ganm_682,ძალ-უც,შეუძლიათ,1,16,False
ganm_683,სრულ-ქმნა,დასრულება,1,16,False
ganm_684,ბედითი,"უსარგებლო, ცუდ-უბრალო",1,16,False
ganm_685,ხელად აქვს,"წესად, ჩვეულებად აქვთ",1,16,True
ganm_686,სათრეველად,"გასამასხარავებლად, ხუმრობით გასაკილავად",1,17,False
ganm_687,რაცა ოდენ,რაც კი,1,17,True
ganm_688,ხამს,"საჭიროა, ჯერ-არს, უნდა",1,18,False
ganm_689,მობდეს,"აფუჭებდეს, აუქმებდეს, აფერხებდეს",1,18,False
ganm_690,უჩნდეს,"ჰყავდეს, ეგულებოდეს",1,18,False
ganm_691,მისგან კიდე,მის გარდა,1,18,True
ganm_692,ნურა,ნურაფერი,1,18,False
ganm_693,ცანით,შეიტყეთ!,1,19,False
ganm_694,გამიქიქია,"დამიმცირებია, დამიგმია, გამიბიაბურებია",1,19,False
ganm_695,ჯიქი,"ლეოპარდი, პანტერა",1,19,False
ganm_696,ქვემორე,ქვემოთ,1,19,False
ganm_697,გამოსაგები,"გამოსათქმელი, გამოსახატი",1,20,False
ganm_698,საზეო,"ზეციური, ზეცისკენ მიმართული",1,20,False
ganm_699,თმობამცა ჰქონდა,მოთმინება ჰქონდეს,1,20,True
ganm_700,მიჰხვდებიან,"მისწვდებიან, ეწევიან",1,21,False
ganm_701,დაშვრების,დაიღლება,1,21,False
ganm_702,დავალდებიან,შეწუხდებიან,1,21,False
ganm_703,ვთქვნე ხელობანი ქვენანი,"ვიტყვი, აგიწერთ „ქვენა” ანუ მიწიერ გრძნობებს",1,21,True
ganm_704,ჰხვდებიან,"ეხებიან, ეკუთვნიან",1,21,False
ganm_705,ოდენ,მხოლოდ,1,21,False
ganm_706,ბნდებიან,"გონებას კარგავენ, იბნიდებიან",1,21,False
ganm_707,"მით, რომე","იმიტომ, რომ",1,22,True
ganm_708,ვერ-მიხვდომისა,"ვერმიახლოების, სატრფოსთან თავისი მიზნის ვერმიღწევის",1,22,False
ganm_709,საღმრთო სიახლე,ღმერთთან სიახლოვე,1,22,True
ganm_710,დაშვრების აღმაფრენითა,"იღლება, ძალას ხარჯავს ზეცისკენ სწრაფვაში",1,22,True
ganm_711,კვლა,ხოლო,1,22,False
ganm_712,ქვე უც,"დაბლა, ამ ქვეყნად აქვს",1,22,True
ganm_713,ვითა,როგორც,1,23,False
ganm_714,გვარი,ზეციური „იდეა”,1,24,False
ganm_715,სიძვა,"გარყვნილება, სქესობრივი აღვირახსნილობა",1,24,False
ganm_716,უზის,"უძევს, გავლებული აქვს",1,24,False
ganm_717,ნაუბარი,ნათქვამი,1,24,False
ganm_718,ხამს,"უნდა, საჭიროა",1,25,False
ganm_719,ხანიერი,"გამტანი, ერთგული",1,25,False
ganm_720,უში,"ოხვრა, ვაება, კვნესა",1,25,False
ganm_721,კუშტი,"მკაცრი, უკარებელი",1,25,False
ganm_722,მიჰხვდეს,შეჰხვდეს,1,25,False
ganm_723,ქუში,"პირქუში, უღიმღამო, გულჩათხრობილი",1,25,False
ganm_724,აუზვავდეს,გაუთამამდეს,1,26,False
ganm_725,შეუზარდეს,შეუშინდეს,1,26,False
ganm_726,ყველაკაი,ყოველივე,1,26,False
ganm_727,ნურა ჰგავა,"ნუ ენაღვლება, ნუ დაეძებს",1,26,True
ganm_728,უხმობს,უწოდებს,1,27,False
ganm_729,თმობასა;,მოთმინებას,1,27,False
ganm_730,მღერასა,თამაშს,1,27,False
ganm_731,ბედითსა,"ამაოს, ცუდ-უბრალოს",1,27,False
ganm_732,ვინ იქმს სოფლისა თმობასა,"ვინც ქვეყანას დათმობს, ვინც სატრფოსთვის ყველაფერს გაწირავს",1,27,True
ganm_733,პირველი,აქ: საუკეთესო,1,28,False
ganm_734,თავის-წინა,მარტოობაში,1,28,False
ganm_735,ნიადაგმცა ჰქონდა,მუდამ ჰქონდეს,1,28,True
ganm_736,ხალვა,ფიქრიანი განმარტოება,1,28,False
ganm_737,ალვა,"აალება, წვა",1,28,False
ganm_738,დათმოს,მოითმინოს,1,28,False
ganm_739,ხამს,"საჭიროა, ჯერ-არს",1,29,False
ganm_740,ხვაშიადსა,გულისნადებს,1,29,False
ganm_741,ბედითად,"ტყუილად, ამაოდ",1,29,False
ganm_742,ზმიდეს,შვრებოდეს,1,29,False
ganm_744,მოყვარესა,სატრფოს,1,29,False
ganm_745,აყივნებდეს,არცხვენდეს,1,29,False
ganm_746,უჩნდეს,მიაჩნდეს,1,29,False
ganm_747,უშმაგო,"გონზე მყოფი, არაშმაგი",1,30,False
ganm_748,გაამჩივნოს,გათქვას,1,30,False
ganm_749,რამცა ირგო,"რას ირგებს, რას მოიგებს?",1,30,True
ganm_750,რათამეღა ასახელოს,"რაღათი ასახელებს, რაღათი შეუძლია ასახელოს?",1,30,True
ganm_751,მოაყივნოს,შეარცხვინოს,1,30,False
ganm_752,რა ჰგავა,რა ენაღვლება?,1,30,True
ganm_753,აყივნებს,არცხვენს,1,31,False
ganm_754,წყლულსა,დაჭრილსა,1,31,False
ganm_755,ტირილსა ემართლების,"შეიძლება ტირილი მოვუწონოთ, ტირილისათვის არ დავგმოთ",1,32,True
ganm_756,დაეთვლების,ჩაეთვლება,1,32,False
ganm_757,მისგან კიდე,მის გარდა,1,32,True
ganm_758,დააჩნდეს,შეეტყოს,1,32,False
ganm_759,კაცთა ეახლების,ადამიანებთან იქნება,1,32,True
ganm_6009,სვიანი,ბედნიერი,2,33,False
ganm_6010,ყმიანი,მრავალი ყმის ანუ ვასალის მყოლი,2,33,False
ganm_6011,მორჭმული,"გამარჯვებული, წარმატებული",2,33,False
ganm_6012,უებრო,"უბადლო, სწორუპოვარი",2,33,False
ganm_6013,კვლა,აგრეთვე,2,33,False
ganm_6014,მოუბარი,მოლაპარაკე,2,33,False
ganm_6015,ოდენ,მხოლოდ,2,34,False
ganm_6016,მისთა მჭვრეტთა,მის მნახველებს,2,34,True
ganm_6017,ხამს,"უნდა, საჭიროა",2,34,False
ganm_6019,ბევრად ასული,რავალი ასი,2,34,True
ganm_6020,რა გაიზარდა,რომ გაიზარდა,2,35,True
ganm_6021,გაივსო,დასრულდა,2,35,False
ganm_6022,ამო,"აქ: ნელი, ტკბილი",2,35,False
ganm_6023,ერთგან,რთად,2,36,False
ganm_6024,სასაუბნაროსა,"სასაუბროს, სამსჯელოს",2,36,False
ganm_6025,უმთენაროსა,გაუთენებელს,2,36,False
ganm_6026,გარდასრულვარ,"გადავსულვარ, დრო გამსვლია",2,37,False
ganm_6027,ასრე,ასე,2,37,False
ganm_6028,კადრეს,"მოახსენეს, უთხრეს",2,38,False
ganm_6029,ეგრეცა,მაინც,2,38,False
ganm_6030,გვმართებს მისივე ჯერობა,ასვე უნდა დავჯერდეთ,2,38,True
ganm_6031,სული,უნი,2,38,False
ganm_6032,ხმდა,საჭირო იყო,2,39,False
ganm_6033,გლმობია,გტკენიათ,2,39,False
ganm_6034,შენაფლობი,შენაპყრობი,2,39,False
ganm_6035,გათნევთ,"გეპირფერებით, საამებლად გეუბნებით",2,40,False
ganm_6036,კვლა,სხვა დროსაც,2,40,False
ganm_6037,დია;,ბევრჯერ,2,40,False
ganm_6038,განაცხადი,"ნათელი, ბრწყინვალე",2,40,False
ganm_6039,სპასპეტი,სარდალი,2,41,False
ganm_6040,ამირ-სპასალარი,სამხედრო მინისტრი,2,41,False
ganm_6041,სარო,იპაროსის ხე,2,41,False
ganm_6042,ნაზარდი,"ტანადი, ნაკვთიანი",2,41,False
ganm_6043,უწვერული,იგულისხმება: ახალგაზრდა,2,41,False
ganm_6044,სადარო,"შესადარი, მსგავსი",2,41,False
ganm_6045,ჰკლვიდის,კლავდა,2,41,False
ganm_6046,რა მოჰშორდის,რომ მოშორდებოდა ხოლმე,2,42,True
ganm_6047,შეიქმს,"გახდის, აქცევს",2,42,False
ganm_6048,მიჰხვდა,"ჰხვდა, ერგო",2,43,False
ganm_6049,სოქ-,სოქი - ალი,2,43,False
ganm_6050,მომხვდების,შემხვდება,2,43,False
ganm_6051,ნუთუ,ეგებ,2,43,False
ganm_6052,განანათლნეს ყოველნი,"გაანათოს ყოველივე, ყველანი",2,44,True
ganm_6054,ვით,როგორც,2,44,False
ganm_6053,შემსხმელმან,ქების მთქმელმა,2,44,False
ganm_6055,ხასი,"დიდებული,",2,45,False
