term,gloss,is_phrase,repaired,original_key
აწ,"აწე ახლა; აწეღა აი ახლა, ეს-ეს არის; აწყა აწღა, მხოლოდ ახლა, ახლა",False,False,
დამტკიცებულად,"ნამდვილად, ჭეშმარიტად",False,False,
აღსასრული,გარდაცვალება,False,False,
კარად სამეფოდ,სამეფო კარი,True,False,
პიტიახში,ერისთავი ქვეყნის გარკვეული ნაწილის მმართველი,False,False,
პირველ,ადრე,False,False,
ქრისტიანე,ქრისტიანი.,False,False,
სპაჲპეტისაჲ,სარდალი,False,False,
რომლისათჳს ესე,რომლის შესახებაც,True,False,
ვთქუთ,ვთქვით,False,False,
სიყრმითგან თჳსით,თავისი ბავშვობიდანვე,True,False,
მარადის,მუდამ,False,False,
გულს ეტყჳნ,წუხდა ხოლმე,True,False,
რაჲთამცა ცვალა,რომ შეცვალოს,True,False,
იქმნამცა,იქნეს.,False,False,
საწყალობელისა,შესაბრალისისა,False,False,
ვითარმე ვინ თქუას,ვინ უნდა თქვას,True,False,
ყოვლად განწირული,სრულიად განწირული,True,False,
ვითარ,"როგორ, როგორც",False,False,
განაგდო,მიატოვა,False,False,
სასოებაჲ,იმედი,False,False,
სტიროდის მას,დაიტირებს მას,True,False,
რომელსა,რომელსაც,False,False,
ჭირი,"გასაჭირი, განსაცდელი",False,False,
ეხილვა,ენახა,False,False,
პყრობილებაჲ,პატიმრობა,False,False,
ქრისტჱსთჳს,ქრისტეს გამო.,False,False,
რაჟამს,როცა,False,False,
პატივისა მიღება,თანამდებობის მიღება,True,False,
უვარის,ყოფა - უარყოფა,False,False,
ყოვლით კერძოვე,"ყოველმხრივ, მთლიანად, სრულიად",True,False,
ესრეთ,"ასე, ამგვარად",False,False,
ეტყოდა,ეუბნებოდა,False,False,
ვითარმედ,რომ,False,False,
რომელი-იგი,"რომელიც, რაც",True,True,რომელი
ბუნებითი,კანონიერი,False,False,
იგინი,მათ,False,False,
ესრევე,ასევე,False,False,
მოვაქცინე,მოვაქცევ,False,False,
ვითარცა-ესე,როგორც,True,True,ვითარცა
უქადებდა,ჰპირდებოდა,False,False,
რომელი,იგი არა აქუნდა ჴელთა შუშანიკისგან - რის თანხმობაც შუშანიკისგან არ გააჩნდა,False,False,
მოიწია,მოვიდა,False,False,
ზრახვა-ყო,განიზრახა,True,True,ზრახვა
რაჲთა აუწყოს,რომ გააგებინოს,True,False,
წინამიეგებნენ,"შეეგებონ, შეხვდნენ",False,False,
აზნაური,დიდი ფეოდალი,False,False,
ძე,ვაჟიშვილი,False,False,
ვითარცა,"როგორც, როცა",False,False,
სოფლად შევიდეს,"ქვეყნად შევიდეს, დაბრუნდეს ქვეყანაში",True,False,
წარმოჰმართა,გამოგზავნა,False,False,
სადიასპანო,საელჩო,False,False,
კითხვაჲ ჰრქუა,"მოიკითა, მიესალმა",True,False,
უკუეთუ,თუ,False,False,
ცხოველი,ცოცხალი,False,False,
ცოცხალმცა ხართ,"ცოცხალი იყავით, იცოცხლეთ",True,False,
მოკითხვაჲ,სალამი,False,False,
შენდავე მოიქეცინ,შენვე დაგიბრუნდეს,True,False,
ვერ იკადრა სიტყუად მისა,ვერ გაბედა მისთვის თქმა,True,False,
აფუცებდა,აფიცებდა,False,False,
ჰკითხავდა,ეკითხებოდა,False,False,
ჰრქუა,უთხრა,False,False,
ვითარმედ,რომ,False,False,
უვარ-ყო,უარყო,True,True,უვარ
ქუეყანა,მიწა,False,False,
დამართ,დაბლა,False,False,
იტყოდა,ამბობდა,False,False,
ატროშანი,"აქ: ცეცხლთაყვანისმცემლობა, მაზდეანობა",False,False,
შეერთო,შეუერთდა,False,False,
ტაძარი,სასახლე,False,False,
ეკლესიად შევიდა,ეკლესიაში შევიდა,True,False,
თანამიიყვანა,მიიყვანა,False,False,
წარადგინნა იგინი,დააყენა ისინი,True,False,
საკურთხეველი,სამსხვერპლო,False,False,
ესრეთ ილოცვიდა,ასე ლოცულობდა,True,False,
შენ დაიცვენ ესენი,დაიცავი ესენი,True,False,
განათლებული,მონათლული,False,False,
ემბაზი,"ადგილი, სადაც ნათლავენ, ჭურჭელი, რაშიც ნათლავენ",False,False,
ყოფად ერთ სამწყსო ერთისა მწყემსისა,რომ იქნენ ერთი მწყემსის (ქრისტეს) სამწყსო (მრევლი),True,False,
ვითარცა,"როგორც, როცა",False,False,
მწუხრისა ჟამი,საღამოს ლოცვა,True,False,
აღასრულეს,დაამთავრეს,False,False,
მუნ შინა,მასში,True,False,
სიმწარითა სავსე,"დარდით სავსე, დამწუხრებული",True,False,
მიეყრდნა ყურესა ერთსა,"კუთხეში დადგა, ერთ კუთხეს მიეყრდნო",True,False,
არა მუნ იყო,იქ არ იყო ვანი - სამყოფელი,True,False,
კითხვად რაჲსმე სიტყჳსა,რაღაცის საკითხავად,True,False,
თანავჰყვანდი,წაყვანილი ვყავდი,False,False,
მყის,"მაშინვე, სწრაფად",False,False,
დიაკონი,ეკლესიის მსახური,False,False,
შინაჲთ,შინიდან,False,False,
