term,chapter_index,section,paragraph_index,match
აწ,1,I,2,exact
დამტკიცებულად,1,I,2,exact
აღსასრული,1,I,2,exact
პიტიახში,1,I,2,exact
რამეთუ,1,I,2,exact
პირველ,1,I,2,exact
ქრისტიანე,1,I,2,exact
ვთქუთ,1,I,2,exact
სიყრმითგან თჳსით,1,I,2,exact
რომლისათჳს ესე,1,I,2,normalised
კარად სამეფოდ,1,I,2,exact
მარადის,1,I,3,exact
მისთჳს,1,I,3,exact
იქმნამცა,1,I,3,exact
რაჲთამცა ცვალა,1,I,3,exact
გულს ეტყჳნ,1,I,3,normalised
საწყალობელისა,1,I,4,exact
განაგდო,1,I,4,exact
სასოებაჲ,1,I,4,exact
რომელსა,1,I,4,exact
ჭირი,1,I,4,exact
ეხილვა,1,I,4,exact
პყრობილებაჲ,1,I,4,exact
ვითარმე ვინ თქუას,1,I,4,exact
ყოვლად განწირული,1,I,4,exact
სტიროდის მას,1,I,4,exact
ვითარ-იგი,1,I,4,exact
რამეთუ,1,I,5,exact
რაჟამს,1,I,5,exact
რამეთუ,1,I,5,exact
განაგდო,1,I,5,exact
ესრეთ,1,I,6,exact
ეტყოდა,1,I,6,exact
ვითარმედ,1,I,6,exact
ბუნებითი,1,I,6,exact
ესრევე,1,I,6,exact
მოვაქცინე,1,I,6,exact
უქადებდა,1,I,6,exact
რაჲთამცა სათნო,1,I,6,exact
ვითარცა-ესე,1,I,6,exact
რომელი-იგი,1,I,6,exact
რომელი-იგი,1,I,6,exact
ვითარცა,1,II,7,exact
მოიწია,1,II,7,exact
წინამიეგებნენ,1,II,7,exact
ვითარცა,1,II,7,exact
წარმოჰმართა,1,II,7,exact
ვითარცა,1,II,7,exact
რომელსა,1,II,7,exact
სოფლად შევიდეს,1,II,7,exact
რაჲთა აუწყოს,1,II,7,exact
ზრახვა-ყო,1,II,7,exact
ვითარცა,1,II,8,exact
მოიწია,1,II,8,exact
ჰრქუა,1,II,8,exact
ვითარცა,1,II,8,exact
ჰრქუა,1,II,8,exact
უკუეთუ,1,II,8,exact
უკუეთუ,1,II,8,exact
მოკითხვაჲ,1,II,8,exact
იკადრა,1,II,8,exact
აფუცებდა,1,II,8,exact
დამტკიცებულად,1,II,8,exact
ჰრქუა,1,II,8,exact
ვითარმედ,1,II,8,exact
ვერ იკადრა სიტყუად მისა,1,II,8,exact
შენდავე მოიქეცინ,1,II,8,exact
ცოცხალმცა ხართ,1,II,8,exact
იკადრა სიტყუად,1,II,8,exact
კითხვაჲ ჰრქუა,1,II,8,exact
უვარ-ყო,1,II,8,exact
ვითარცა,1,II,9,exact
დამართ,1,II,9,exact
იტყოდა,1,II,9,exact
რამეთუ,1,II,9,exact
ატროშანი,1,II,9,exact
შეერთო,1,II,9,exact
საწყალობელ იქმნა,1,II,9,exact
უვარ-ყო,1,II,9,exact
ტაძარი,1,II,10,exact
იგინი,1,II,10,exact
ესრეთ,1,II,10,exact
იტყოდა,1,II,10,exact
უფალო,1,II,10,exact
ყოფად ერთ სამწყსო ერთისა მწყემსისა,1,II,10,exact
შენ დაიცვენ ესენი,1,II,10,exact
წარადგინნა იგინი,1,II,10,exact
ეკლესიად შევიდა,1,II,10,exact
ესრეთ ილოცვიდა,1,II,10,exact
ვითარცა,1,II,11,exact
აღასრულეს,1,II,11,exact
მუნ,1,II,11,exact
მიეყრდნა ყურესა ერთსა,1,II,11,exact
სიმწარითა სავსე,1,II,11,exact
მწუხრისა ჟამი,1,II,11,exact
მუნ შინა,1,II,11,exact
რომელსა,1,III,12,exact
მუნ,1,III,12,exact
რაჲსამე,1,III,12,exact
ხუცესი,1,III,12,exact
თანავჰყვანდი,1,III,12,exact
მყის,1,III,12,exact
მოიწია,1,III,12,exact
დიაკონი,1,III,12,exact
შინაჲთ,1,III,12,exact
ვტიროდეთ,1,III,12,exact
აღვივსენით მწუხარებითა,1,III,12,exact
არა მუნ იყო,1,III,12,exact
ვითარცა,1,III,13,exact
ვტიროდე,1,III,13,exact
ვითარცა,1,III,13,exact
მრქუა,1,III,13,exact
ხუცეს,1,III,13,exact
ვარქუ,1,III,13,exact
მრქუა,1,III,13,exact
ჩემდა,1,III,13,exact
საძოვარი პოოს შენ თანა,1,III,13,exact
ჩემდა მარტოჲსა,1,III,13,exact
