chapter,text
1," და აწ დამტკიცებულად გითხრა თქუენ აღსასრული წმიდისა და სანატრელისა შუშანიკისი.

იყო მერვესა წელსა სპარსთა მეფისასა კარად სამეფოდ წარემართა ვარსქენ პიტიახში ძჱ არშუშაჲსი. რამეთუ პირველ იგიცა იყო ქრისტიანე, ნაშობი მამისა და დედისა ქრისტიანეთაჲ.

და ცოლად მისა იყო ასული ვარდანისი სომეხთა სპაჲპეტისაჲ, რომლისათჳს ესე მივწერე თქუენდა, მამისაგან სახელით ვარდან და სიყუარულით სახელი მისი შუშანიკ, მოშიში ღმრთისაჲ, ვითარცა იგი ვთქუთ, სიყრმითგან თჳსით. და უკეთურებისა მის სახისა ქმრისა მისისაჲსა მარადის გულს ეტყჳნ და ევედრებინ ყოველთავე ლოცვის ყოფად მისთჳს, რაჲთამცა ცვალა იგი ღმერთმან სახისა მისგან უგუნურებისა და იქმნამცა გონიერებასა ქრისტჱსსა.

ხოლო ამის უბადრუკისა და სამგზის საწყალობელისა ვარსქენისი ვითარმე ვინ თქუას ყოვლად განწირულისაჲ, ვითარ-იგი განაგდო სანატრელი სასოებაჲ ; ქრისტჱსი! ანუ ვინ არა სტიროდის მას, რომელსა არცა ჭირი ეხილვა, არცა შიში, არცა მახჳლი, არცა პყრობილებაჲ ქრისტჱსთჳს.

რამეთუ რაჟამს წარდგა იგი წინაშე სპარსთა მეფისა, არა თუ პატივისა მოღებისათჳს, არამედ ძღუნად თავსა თჳსსა შესწირვიდა მეფისა მის მიმართ უვარის-ყოფითა ჭეშმარიტისა ღმრთისაჲთა და თაყუანის-სცემდა ცეცხლსა, რამეთუ ყოვლით კერძოვე თავი თჳსი ქრისტჱსგან განაგდო.

ხოლო საწყალობელი ესე ცოლსა ითხოვდა სპარსთა მეფისგან, რაჲთამცა სათნო ეყო მეფესა, და ესრეთ ეტყოდა, ვითარმედ „რომელი-იგი ბუნებითი ცოლი არს და შვილნი, იგინიცა ესრევე მოვაქცინე შენსა შჯულსა, ვითარცა–ესე მე“. ამას უქადებდა, რომელ-იგი არა აქუნდა ჴელთა შუშანიკისგან. მაშინ განიხარა მეფემან და ბრძანა ცოლად მისა ასული მეფისაჲ."
2,"და იჯმნა მეფისაგან სპარსთაჲსა პიტიახშმან. და, ვითარცა მოიწია იგი საზღვართა ქართლისათა, ქუეყანასა მას ჰერეთისასა, ზრახვა-ყო, რაჲთა აუწყოს და წინამიეგებნენ მას აზნაურნი და მისნი ძენი და მსახურნი მისნი, რაჲთა მათ გამო ვითარცა ერთგული სოფლად შევიდეს. და წარმოჰმართა სადიასპანოჲთა ცხენითა მონაჲ თჳსი, ვითარ[მ]ცა მოვიდა დაბასა, რომელსა სახელი ჰრქჳან ცურტავ.

და ვითარცა მოიწია და შევიდა წინაშე შუშანიკისა დედოფლისა ჩუენისა, კითხვაჲ ჰრქუა. ხოლო სანატრელმან შუშანიკ ვითარცა წინ[აჲსწ]არმეტყველმან ჰრქუა: „უკუეთუ სულითა ცხოველ არს იგი, ცოცხალმცა ხართ იგიცა და შენცა. უკუეთუ სულითა მომკუდარ ხართ, მოკითხვაჲ ეგე შენი შენდავე მოიქეცინ“. ხოლო კაცმან მან ვერ იკადრა სიტყუად მისა. ხოლო წმიდაჲ შუშანიკ აფუცებდა და ჰკითხვიდა დამტკიცებულად. ხოლო კაცმან უთხრა მართალი და ჰრქუა, ვითარმედ: „ვარსქენ უვარ-ყო ჭეშმარიტი ღმერთი“.

ვითარცა ესმა ნეტარსა შუშანიკს, დავარდა იგი ქუეყანასა ზედა და თავსა დამართ სცემდა და ცრემლითა მწარითა იტყოდა: „საწყალობელ იქმნა უბადრუკი ვარსქენ, რამეთუ უვარ-ყო ჭეშმარიტი ღმერთი და აღიარა ატროშანი და შეერთო იგი უღმრთოთა“.

და აღდგა და დაუტევა ტაძარი თჳსი და ღმრთის მოშიშებით ეკლესიად შევიდა და თანამიიყვანნა სამნი იგი ძენი მისნი და ერთი ასული და წარადგინნა იგინი წინაშე საკურთხეველსა და ესრეთ ილოცვიდა და იტყოდა: „უფალო ღმერთო, შენნი მოცემულნი არიან და შენ დაიცვენ ესენი, განათლებულნი წმიდისაგან ემბაზისა მადლითა სულისა წმიდისაჲთა, ყოფად ერთ სამწყსო ერთისა მწყემსისა უფლისა ჩუენისა იესუ ქრისტჱსა“.

და ვითარცა მწუხრისა ჟამი აღასრულეს, სახლაკი ერთი მცირჱ პოვა მახლობელად ეკლესიასა და შევიდა მუნ შინა სიმწარითა სავსე და მიეყრდნა ყურესა ერთსა და მწარითა ცრემლითა ტიროდა."
3,"ხოლო ეპისკოპოსი იგი სახლისაჲ, მის პიტიახშისაჲ, რომელსა სახელი ერქუა აფოც, არა მუნ იყო, არამედ კაცისა ვისამე წმიდისა ვანად მისრულ იყო კითხვად რაჲსმე სიტყჳსა. და მეცა, ხუცესი დედოფლისა შუშანიკისი, თანავჰყვანდი ეპისკოპოსსა მას. და მყის მოიწია ჩუენდა დიაკონი შინაჲთ და გჳთხრა ჩუენ ესე ყოველი: მოსლვაჲ პიტიახშისაჲ და საქმენი დედოფლისანი. ხოლო ჩუენ აღვივსენით მწუხარებითა და დიდითა ტირილითა ვტიროდეთ განმწარებულნი ცოდვათა ჩუენთა წარმოჩინებისათჳს.

ხოლო მე ვიჯმენ ადრე და მივიწიე დაბასა მას, რომელსაცა იყო ნეტარი შუშანიკ. და, ვითარცა ვიხილე იგი განმწარებული, მეცა ვტიროდე მის თანავე. და ვარქუ ნეტარსა შუშანიკს: „ღუაწლსა დიდსა შესლვად ხარ, დედოფალო, ეკრძალე სარწმუნოებასა ქრისტჱსსა, ნუუკუე მტერმან ვითარცა სრსჳლმან საძოვარი პოოს შენ თანა“. ხოლო წმიდამან შუშანიკ მრქუა მე: „ხუცეს, და მეცა დიდსა ღუაწლსა განმზადებულ ვარ“. და მე ვარქუა მას: „ეგრჱთ არს, მჴნე იყავ, მოთმინე და სულგრძელ“. ხოლო მან მრქუა მე: „ჩემდა მარტოჲსა არიან ჭირნი ესე“. ხოლო მე ვარქუ მას: „ჭირი შენი. ჭირი ჩუენი არს და სიხარული შენი, სიხარული ჩუენი არს. ჩუენი არა ხოლო თუ დედოფალი ოდენ იყავ, არამედ ჩუენ ყოველთა ვითარცა შვილთა გუხედევდ“.

და ვარქუ მე სანატრელსა მას ხუაშიადადრე: „ვითარ გეგულების, მითხარ მე, რაჲთა უწყოდი და აღვწერო შრომაჲ შენი“. ხოლო მან მრქუა მე: „რაჲსა მკითხავ ამას?“. და მე მიუგე და ვარქუ მას: „მტკიცედ სდგაა?“. და მან მრქუა მე: „ნუ იყოფინ ჩემდა, თუმცა ვეზიარე საქმეთა და ცოდვათა ვარსქენისთა“. მე მიუგე და ვარქუ მას: „მწარე გონებაჲ აქუს მას, გუემასა და ტანჯვასა დიდსა შეგაგდოს შენ“. ხოლო მან მრქუა მე: „უმჯობჱს არს ჩემდა ჴელთა მისთაგან სიკუდილი, ვიდრე ჩემი და მისი შეკრებაჲ და წარწყმედაჲ სულისა ჩემისაჲ; რამეთუ მასმიეს მე პავლჱს მოციქულისაგან: „არა დამონებულ არს ძმაჲ, გინა დაჲ, არამედ განეყენენ“. და მე ვთქუ: „ეგრეთ არს“."
4,"და ვიდრე ჩუენ ამას სიტყუასა შინ ვიყვენით, კაცი ერთი სპარსი მოვიდა და შევიდა იგი წინაშე ნეტარისა შუშანიკისა და ტირილით იტყოდა: „ესევითარი სახლი მშჳდობისაჲ ვითარ საწყალობელ იქმნა და სიხარული მწუხარებად გარდაიქცა!“. ხოლო ზრახვითა იყო იგი ვარსქენისათა და ზაკუვით იტყოდა ამას და უნდა მონადირებაჲ ნეტარისაჲ მის. ხოლო წმიდამან მან ცნა ზაკუვითი იგი ზრახვაჲ მისი და მოიზღუდა თავი მისი მტკიცედ.

და შემდგომად სამისა დღისა მოვიდა ვარსქენ პიტიახში. და უთხრა სპარსმან მან ფარულად და ჰრქუა: „მე ვითარ მიცნობიეს ცოლი შენი განდგომილ არს შენგან. და მე გეტყჳ შენ: ნუ რას ფიცხელსა სიტყუასა ეტყჳ მას, რამეთუ დედათა ბუნებაჲ იწრო არს“.

და ხვალისა დღჱ ვითარ აღდგა პიტიახში, გჳწოდა ჩუენ ხუცესთა და მივედით. და სიხარულით შეგჳმთხჳნა და გურქუა ჩუენ: „აწ ნუ რას მერიდებით მე და ნუცაღა გძაგ“. და ჩუენ მიუგეთ და ვარქუთ: „წარსწყმიდე თავი შენი და ჩუენცა წარგუწყმიდენ“. მაშინღა იწყო სიტყუად და თქუა: „რაჲსა ჴელ-იწიფა ჩემ ზედა ცოლმან ჩემმან ესევითარისა საქმედ? აწ მივედით და არქუთ, ვითარმედ „შენ ჩემი ხატი დაამჴუ და საგებელსა ჩემსა ნაცარი გარდაასხ, და შენი ადგილი დაგიტევებიეს, და სხუად წარსრულ ხარ“.

ხოლო წმიდამან შუშანიკ თქუა: „არა თუ მე აღმემართა ხატი იგი? და მემცა დავამჴუ! ხოლო მამამან შენმან აღჰმართნა სამარტჳლენი და ეკლესიანი აღაშჱნნა, და შენ მამისა შენისა საქმენი განჰრყუნენ და სხუად გარდააქციენ კეთილნი მისნი; მამამან შენმან წმიდანი შემოიხუნა სახიდ თჳსა, ხოლო შენ დევნი შემოიხუენ; მან ღმერთი ცათაჲ და ქუეყანისაჲ აღიარა და ჰრწმენა, ხოლო შენ ღმერთი ჭეშმარიტი უარ-ჰყავ და ცეცხლსა თაყუანის-ეც. და ვითარცა შენ შემოქმედი შენი უვარ-ჰყავ, ეგრეცა მე შენ შეურაცხ–გყავ. და თუ მრავალი ტანჯვაჲ მოაწიო ჩემ ზედა, მე არა ვეზიარო საქმეთა შენთა“. ხოლო ჩუენ ესე ყოველი მიუთხართ პიტიახშსა. ხოლო მან განიწყო გული და იბრდღუენდა მისთჳს."
5,"მერმე მიავლინა ჯოჯიკ, ძმაჲ თჳსი, და ცოლი ჯოჯიკისი, ძმისცოლი თჳსი, და ეპისკოპოსი სახლისა თჳსისაჲ და ჰრქუა მათ: „ესრეთ არქუთ: აღდეგ და მოვედ ადგილსა თჳსსა და ნუ ეგევითარი გონებაჲ გიპყრიეს! უკუეთუ არა, თრევით მოგითრიო“.

და ვითარ მიიწინეს და შევიდეს წინაშე დედოფლისა და მრავალსა დასაჯერებელსა სიტყუასა ეტყოდეს მას, მაშინ წმიდამან შუშანიკ ჰრქუა მათ: „კაცნო ბრძენნო, თქუენ კეთილად იტყჳთ, გარნა ნუ დაგიჯერებიეს, თუმცა მე მისა ცოლადღა ვიყავ. მეგონა მე, ვითარმედ იგი ჩემდა მოვაქციო და ღმერთი ჭეშმარიტი აღიაროს, და აწ მე მაიძულებთ ამას ყოფად? ნუ იყოფინ ესე ჩემდა! და შენ, ჯოჯიკ, არღარა ჩემი მაზლი ხარ, და არცაღა მე შენი ძმის ცოლი, არცა ცოლი შენი დაჲ ჩემი არს, რომელნი მის კერძო და მისთა საქმეთა ზიარ ხართ“. ჰრქუა მას ჯოჯიკ: „უწყი მე, აწ მოავლინნეს მსახურნი და თრევით წარგიყვანოს შენ“. ხოლო წმიდამან შუშანიკ ჰრქუა: „უკუეთუ შემკრას და მითრიოს, მიხარის, რამეთუ მით სახითა იყოს განჩინებაჲ ჩემი მისგან“.

და ვითარცა ესმა ესე მისგან, ცრემლოოდეს ყოველნი. და ჯოჯიკ აღდგა და ცრემლით გარე განვიდა. ხოლო წმიდამან შუშანიკ ჰრქუა ეპისკოპოსსა: „ვითარ მეტყჳ მე დაჯერებად ჩემდა, რამეთუ მან ღმერთი უვარ-ყო?!“. ხოლო ჯოჯიკ ევედრებოდა და ეტყოდა: „დაჲ ჩუენი ხარ შენ, ნუ წარსწყმედ სახლსა ამას სადედოფლოსა“. ჰრქუა მას წმიდამან შუშანიკ: „უწყი, ვითარმედ დაჲ ვარ და ერთგან განზრდილნი, ხოლო მაგას ვერ ვჰყოფ, ვითარმცა მოსისხლეობაჲ იქმნა, და თქუენ ყოველნი თანამდებ იქმნენით“.

და ვითარცა ფრიად აურვებდეს მას, აღდგა წმიდაჲ და ნეტარი შუშანიკ და თანაწარიტანა ევანგელჱ თჳსი და ტირილით ესრჱთ იტყოდა: „უფალო ღმერთო, შენ უწყი, ვითარმედ მე გულითად სიკუდილდ მივალ“.

ესე თქუა და წარვიდა მათ თანა და თანა წარიტანნა ევანგელჱ თჳსი და წმიდანი იგი წიგნნი მოწამეთანი. და რაჟამს შევიდა იგი ტაძარსა მას, არა დაჯდა იგი თჳსსა მას გალიაკსა, არამედ სენაკსა შინა მცირესა. და აღიპყრა ჴელნი თჳსნი ზეცად წმიდამან შუშანიკ და თქუა: „უფალო ღმერთო, არცა მღდელთაგანი ვინ იპოვა მოწყალჱ, არცა ერისა კაცი ვინ გამოჩნდა შორის ერსა ამას, არამედ ყოველთა მე სიკუდილდ მიმითუალეს მტერსა ღმრთისასა ვარსქენს“."
6,"და შემდგომად ორისა დღისა მოვიდა მგელი იგი ტაძრად და ჰრქუა მსახურთა თჳსთა: „დღეს მე და ჯოჯიკ და ცოლმან მისმან ერთად პური ვჭამოთ, ხოლო სხუასა ნუ ვის უფლიედ ჩუენ თანა შემოსლვად“. და რაჟამს შემწუხრდა, მოუწოდეს ცოლსა ჯოჯიკისასა და ინებეს ერთად პურისა ჭამაჲ, რაჲთამცა მოიყვანეს წმიდაჲ შუშანიკცა. და ვითარცა მოიწია ჟამი პურისაჲ, შევიდეს ჯოჯიკ და ცოლი მისი წინაშე წმიდისა შუშანიკისა, რაჲთამცა მასცა აჭამეს პური, რამეთუ ყოველნი იგი დღენი უზმასა გარდაევლნეს. და ვითარცა მეტად აიძულეს და ძლით წარიყვანეს ტაძრად, ხოლო გემოჲ არა რაჲსაჲ იხილა. ხოლო ცოლმან ჯოჯიკისმან მიართუა ღჳნოჲ ჭიქითა და აიძულებდა მას, რაჲთამცა იგი ხოლო შესუა. ჰრქუა მას წმიდამან შუშანიკ რისხვით: „ოდეს ყოფილ არს აქამომდე, თუმცა მამათა და დედათა ერთად ეჭამა პური?!“. და განყარა ჴელი და ჭიქაჲ იგი პირსა შეალეწა და ღჳნოჲ იგი დაითხია.

მაშინ იწყო უჯეროსა გინებად ვარსქენ და ფერჴითა თჳსითა დასთრგუნვიდა მას; და აღიღო ასტამი, და უხეთქნა მას თავსა, და ჩაჰფლა, და თუალი ერთი დაუბუშტა; და მჯიღითა სცემდა პირსა მისსა უწყალოდა და თმითა მიმოითრევდა, ვითარცა მჴეცი მძჳნვარჱ ყიოდა და იზახდა ვითარცა ცოფი. მაშინ შუელად აღდგა ჯოჯიკ, ძმაჲ მისი, და იბრძოდეს, ვიდრემდის გუემა იგიცა, და კუბასტიცა თავსა მისსა მოხეთქა და ჭირით, ვითარცა კრავი მგელსა, გამოუღო ჴელთა მისთა. და ვითარცა მკუდარი იდვა წმიდაჲ შუშანიკ ქუეყანასა ზედა. და აგინებდა ვარსქენ თესლ-ტომსა მისსა და სახლისა მაოჴრებელად სახელ-სდებდა მას. და უბრძანა შეკრვაჲ მისი და ბორკილთა შესხმაჲ ფერჴთა მისთა.

და ვითარცა მცირედ და-რე-სცხრა გულის წყრომისაგან, მოვიდა სპარსი იგი და მჴურვალედ ევედრებოდა მას, რაჲთამცა საკრველთა მათგან განეტევა წმიდაჲ შუშანიკ. და ვითარ ფრიად ევედრებოდა, ბრძანა განტევებაჲ მისი და სენაკსა ერთსა შეყვანებაჲ და კრძალულად დაცვაჲ მისი ერთითა მსახურითა და რაჲთა სხუაჲ არვინ შევიდეს ხილვად მისა, - არცა მამაკაცი, არცა დედაკაცი."
7,"და ვითარცა ცისკარ ოდენ იყო, იკითხა და თქუა მსახურისა მიმართ მისისა, ვითარმედ: „წყლულებისა მისგან ვითარ არს?“. ხოლო მან ჰრქუა მას: „ვერ განსარინებელ არს იგი“. მაშინ თჳთ შევიდა და იხილა იგი და დაუკჳრდა დიდძალი იგი სიმსივნჱ მისი. და ამცნო მსახურსა მას და ჰრქუა: „ნუმცა ვინ შევალს ხილვად მისა“. და თჳთ ნადირობად წარვიდა.

ხოლო მე აღვდეგ და მივედ და ვარქუ მცველსა მას: „მე ხოლო მარტოჲ შემიტევე და ვიხილო წყლულებაჲ იგი მისი“. ხოლო მან მრქუა მე: „ნუუკუე ცნას და მომკლას მე“. და მე ვრქუ მას: „უბადრუკო, არა მისი განზრდილი ხარა? და თუცა მოგკლას შენ მისთჳს, რაჲ არს?!“. მაშინ შემიტევა მე ფარულად. და ვითარ შევედ შინა, ვიხილე ხატი მისი დაბძარული და განსივებული აღუტევე ჴმაჲ და ვტიროდე. ხოლო წმიდამან შუშანიკ მრქუა მე: „ნუ სტირ ჩემთჳს, რამეთუ დასაბამ სიხარულისა იქმნა ჩემდა ღამჱ ესე“. და მე ვარქუ წმიდასა შუშანიკს: „მიბრძანე და მოგბანო სისხლი ეგე პირსა შენსა და ნაცარი, რომელი თუალთა შენთა შთახუეულ არს, და სალბუნი და წამალი დაგდვა, რაჲთა, ჰე, ღა-მე-თუ განიკურნო!“. ხოლო წმიდამან შუშანიკ მრქუა მე: „ხუცეს, მაგას ნუ იტყჳ, რამეთუ სისხლი ესე გამწმედელ არს ცოდვათა ჩემთაჲ“.

ხოლო მე მცირედ ვაიძულე მიღებად ჭამადი, რომელი მოეძღუანა სამოელ ეპისკოპოსსა და იოვანეს, რამეთუ ფარულად იღუწიდეს და ნუგეშინის-სცემდეს. მაშინ მრქუა მე წმიდამან შუშანიკ: „ხუცეს, ვერ ძალ-მიც გემოჲს-ხილვად, რამეთუ ყბანი და ზოგნი კბილნი შთამუსრვილ არიან“. მაშინ მივიღე მცირედ ღჳნოჲ და პური დავალბე და მცირედ გემოჲ იხილა. და მე ვისწრაფდი გამოსლვად.

მაშინ მრქუა მე წმიდამან შუშანიკ: „ხუცეს, მიუძღუანოა სამკაული ესე მისი? ნუუკუე ითხოვდეს, რამეთუ მე ამას ცხორებასა არღარად მეჴმარების“. ხოლო მე ვარქუ: „ნუ რას ისწრაფი, იყოს შენ თანა“. და ჩუენღა ამას განვიზრახევდით, მოვიდა ყრმაჲ ერთი და თქუა: „იაკობ მანდა არსა?“. და მე ვარქუ, ვითარმედ „რაჲ გინებს?“. და მან მრქუა: „უწესს პიტიახში“. და მე დამიკჳრდა, თუ „რაჲსამე მიწესს ამას ჟამსა“. და მივისწრაფე და მივედ. და მან მრქუა მე: „უწყია, ხუცეს, მე ბრძოლად წარვალ ჰონთა ზედა. და ჩემი სამკაული მას არა დაუტეო, ოდეს იგი არა ჩემი ცოლი არს, - იპოოს ვინმე, რომელმან განკაფოს იგი. მივედ და მომართუ იგი ყოველივე, რაჲცა რაჲ არს“. ხოლო მე მივედ და უთხარ წმიდასა შუშანიკს. ხოლო მან განიხარა ფრიად და მადლი მისცა ღმერთსა და ყოველივე მომიძღუანა და მივართუ პიტიახშსა. და მან მიიღო ჩემგან, აღიხილა და იპოვა ყოველი გებულად. და კუალად თქუა: „მერმეცა იპოოს ვინმე, რომელმან ესე შეიმკოს“."
8,"და ვითარცა მოიწინეს დიდნი იგი მარხვანი, მივიდა ნეტარი იგი შუშანიკ მახლობელად წმიდასა ეკლესიასა და იძია მცირჱ სენაკი და მუნ დაეყუდა. და იყო სენაკსა მას მცირჱ სარკუმელი და დაყო იგი. და იყო იგი ბნელსა მას შინა მახრვით და ლოცვით და ტირილით. და ჰრქუა ვინმე პიტიახშსა საკუთარმან მისმან, ვითარმედ: „ამათ წმიდათა მარხვათა ნურას ეტყჳ მას“.

და ვითარ მოიწია აღვსებისა ორშაბათი და მოვიდა პიტიახში ბრძოლისა მისგან ჰონთაჲსა, ეშმაკი თხრიდა გულსა მისსა. და აღდგა, და მივიდა ეკლესიად და ეტყოდა ეპისკოპოსსა მას აფუცს: „გამომეც ცოლი ჩემი, რად განმაშორებ ჩემგან?“. და იწყო გინებად და გმობად ღმრთისა სასტიკად. ხოლო ხუცესმან ერთმან ჰრქუა მას: „უფალო, რაჲსა ეგრე იქმ და იტყჳ ეგრეთ ბოროტსა და აგინებ ეპისკოპოსსა და წმიდასა შუშანიკს რისხვით ეტყჳ?“. ხოლო მან უხეთქნა კუერთხითა ხუცესსა მას ზურგსა და მან ვერღარა იკადრა სიტყუად.

და ეგრეთ წმიდაჲ შუშანიკ თრევით მოითრია თიჴათა შიგან და ეკალთა ზედა, ეკლესიით ვიდრე ტაძრადმდე, ვითარცა მკუდარი მიეთრია. და ადგილდ-ადგილდ ქუე ძეძჳ დაეფინა. და თჳთ ფერჴნი დაიდგნის ძეძუსა მას ზედა, და კუბასტნი შუშანიკისნი და ჴორცნი წულილ-წულილად დაებძარნეს ძეძუსა მას. და ეგრეთ მოიყვანეს იგი ტაძრად. და უბრძანა შეკრვაჲ მისი და ცემაჲ, ბოროტებდა და იტყოდა: „აჰა ეგერა, არა გერგო შენ ეკლესიაჲ შენი და არცა ზურგნი ეგე შენნი ქრისტიანენი, და უფალი იგი მათი“. და ვითარცა სცეს კუერთხითა სამას ოდენ, არარაჲ აღმოჴდა პირსა მისსა ვაჲებაჲ, არცა კუნესაჲ. მაშინღა ჰრქუა წმიდამან შუშანიკ ურჩულოსა ვარსქენს: „უბადოო, შენღა თავი თჳსი არა შეიწყალე და განსდეგ ღმრთისაგან, შენ მემცა შემიწყალეა?!“.

და ვითარცა იხილა დიდძალი იგი სისხლი, რომელ დამოსდიოდა ჩჩჳლთა მათ ჴორცთა მისთა, მაშინ უბრძანა დადებად ჯაჭჳ ქედსა მისსა. და უბრძანა სენაკაპანსა ერთსა, რაჲთა წარიყვანონ წმიდაჲ შუშანიკ ციხედ, და საპყრობილესა ბნელსა შეაყენონ იგი და მოკუდეს."
9,"დიაკონი ვინმე ერთი მის ეპისკოპოსისაჲ დგა წმიდისა შუშანიკის თანა მას ჟამსა, რომელსა გამოჰყვანდა იგი ტაძრით, და უნდა, რაჲთამცა ჰრქუა, თუ „მტკიცედ დეგ!“. და თუალი ჰკიდა პიტიახშმან, სხუაჲ ვერღარაჲ სცალდა სიტყუად, ესთენ ოდენ ჰრქუა: „მტკი..“ და დადუმნა ხოლო და სივლტოლად იწყო სწრაფით.

მაშინ წარმოიყვანეს და მოჰყვანდა წმიდაჲ შუშანიკ უჴამური და თმაგარდატევებული ვითარცა ერთი ვინმე შეურაცხთაგანი, და ვერვინ იკადრა თავსა მისსა დაბურვად, რამეთუ პიტიახში იგი მჴედრ შეუდგა უკუანა კუალსა მისსა და აგინებდა მას მრავლითა გინებითა.

და მივიდოდა წმიდისა მის თანა ამბოხი მრავალი დედებისა და მამებისაჲ, სიმრავლჱ ურიცხჳ, რამეთუ უკუანა შეუდგეს, ჴმაჲ აღემაღლა და ტიროდეს, და იჴაჴდეს ღაწუთა მათთა და საწყალობელად დასთხევდეს ცრემლთა მათთა წმიდისა შუშანიკისთჳს. ხოლო წმიდამან შუშანიკ უკმოჰხედნა ერსა მას და ჰრქუა მათ: „ნუ სტირთ, ძმანო ჩემნო და დანო ჩემნო და შვილნო ჩემნო, არამედ ლოცვასა მომიჴსენეთ. და ჯმნულმცა ვარ მე თქუენგან ამიერითგან, რამეთუ არღარა მიხილოთ ცოცხალი გამოსრული ციხით“. და ვითარცა იხილა პიტიახშმან ამბოხი იგი ტირილი მამათაჲ და დედათაჲ მოხუცებულთა და ყრმათაჲ, მჴედრ მიმოდასდევნინ და მეოტ–ჰყოფნ მათ ყოველთა. და ვითარცა მიიწინეს ჴიდსა მას ციხისასა, ჰრქუა პიტიახშმან წმიდასა შუშანიკს: „შენდა ეგდენ ყოფად არს ფერჴითა შენითა სლვაჲ, რამეთუ ცოცხალი არღარა გამოსლვად ხარ, გარნა თუ ოთხთა გამოგიღონ“.

და ვითარცა შევიდეს ციხედ, პოვეს სახლაკი ერთი ჩრდილოჲთ კერძო, მცირჱ და ბნელი, და მუნ შეაყენეს წმიდაჲ იგი. და ჯაჭჳ იგი, რომელ ედვა ქედსა მისსა, ზედა ეგრეთვე ედვა, და დაჰბეჭდა ურჩულ[ო]მან ვარსქენ ბეჭდითა თჳსითა. ხოლო წმიდამან შუშანიკ თქუა: „მე ამას მხიარულ ვარ, რაჲთა აქა ვიტანჯო და მუნ განვისუენო“. ხოლო პიტიახშმან ჰრქუა მას: „ჰე, ჰე, განისუენე!“

მაშინ დაადგინნა მცველნი მის ზედა და ამცნო მათ, რაჲთა სიყმილითა მოკლან იგი. და ესრეთ ეტყოდა მათ: „გეტყჳ თქუენ, უკუეთუ ვინმე შევიდეს მისა მამაკაცი, გინა დედაკაცი, იხილენით თავნი თქუენნი და ცოლნი და შვილნი და სახლნი თქუენნი, უბრალომცა ვარ, რაჲ გიყო თქუენ“."
10,"მაშინ გამოვიდა ციხით. და მესამესა კჳრიაკესა მოუწოდა მცველსა ერთსა, ჰკითხა მას და ჰრქუა: „აქამომდე ცოცხალღა არსა საწყალობელი იგი?“. ხოლო მან ჰრქუა: „უფალო, სიკუდილდ კერძო უფრო საგონებელ არს, ვიდრე სიცოცხლით, რამეთუ შიმშილითა უფროჲს ხოლო მოკუდების, რამეთუ არარას მიიღებს საზრდელსა“. ხოლო მან ჰრქუა: „ნურა რაჲ გგლიან, უტე, მოკუდეს“.

ხოლო მე მრავლითა ვედრებითა ვარქუ მცველსა მას და უქადე ჭურჭერი ერთი სამისოჲ. და ძნიად თავს იდვა შეტევებაჲ ჩემი და მრქუა მე: „რაჟამს დაღამდეს, მოვედ შენ ხოლო მარტოჲ“. და ვითარ შემიყვანა მცველმან მან, და ვიხილე ტარიგი იგი ქრისტჱსი შუენიერად ვითარცა სძალი შემკული საკრველთა მათგან, და მე, ვითარ ვერ დამითმო გულმან, ვტიროდე ფრიად. ხოლო წმიდამან შუშანიკ მრქუა მე: „კეთილისა ამისთჳს სტირა, ხუცეს?“ ხოლო მცველმან მან მრქუა მე: „ესეღა თუმცა მეცნა, არამცა შემოგიტევე შენ“. ხოლო მე ვიწყე სიტყუად და განმტკიცებად მისა, რავდენი ღმერთმან მომცა მე სიტყუად. და ვიჯმენ მისგან და წარვედ სწრაფით ვანად ჩემდა.

ხოლო პიტიახში ჩორდ წარემართა. და ჯოჯიკ ძმაჲ მისი არა დახუდა, ოდეს საქმჱ ესე იქმნა წმიდისა შუშანიკის ზედა. და ვითარ მოიწია ჯოჯიკ, უკუანა სდევდა პიტიახშსა. და მიეწია მას საზღვართა ჰერეთისათა და ევედრებოდა მას ფრიად, რაჲთამცა ბრძანა საკრველთა მათგან განტევებაჲ მისი. და ვითარ ფრიად აწყინა, ბრძანა განტევებაჲ საკრველთაგან ოდენ. და ვითარ მოვიდა ჯოჯიკ, აღჰჴადა ჯაჭჳ იგი ქედსა მისსა, ხოლო ბორკილთაჲ არა თავს–იდვა წმიდამან შუშანიკ ვიდრე აღსასრულამდე მითურთ.

რამეთუ ექუსი წელი ციხესა მას შინა აღასრულა და წესიერებითა საღმრთოჲთა ყუაოდა: მარხვითა, მარადის მღჳძარებითა, ზედგომითა, თაყუანის-ცემითა უწყინოდ და კითხვითა წიგნთაჲთა მოუწყინებელად. განაბრწყინა და განაშუენა ყოველი იგი ციხჱ ს"
